skill_name,mention_count
大模型,9068
Python,6178
深度学习,5276
人工智能,4746
Agent,4561
C++,3960
RAG,3421
机器学习,3398
PyTorch,2495
微调,2382
图像处理,2151
TensorFlow,2102
多模态,2047
算法开发,1995
架构设计,1921
模型训练,1850
Java,1834
机器视觉,1664
计算机视觉,1552
Linux,1487
数据分析,1480
LangChain,1371
性能优化,1329
目标检测,1269
SQL,1258
AI Agent,1215
算法设计,1205
控制算法,1163
强化学习,1159
OpenCV,1136
Transformer,1115
大语言模型,1078
视觉算法,1048
Docker,956
ROS,883
模型部署,878
模型微调,858
GPT,836
Git,789
C#,709
知识图谱,691
Go,631
系统设计,624
自然语言处理,622
python,597
TensorRT,572
特征工程,562
MySQL,558
图像识别,518
LlamaIndex,511
LoRA,488
数据挖掘,488
Milvus,457
MATLAB,430
模型推理,429
ONNX,409
Redis,408
Matlab,408
AIGC,388
CUDA,353
OCR,347
Pytorch,312
PostgreSQL,292
go,290
Kubernetes,266
K8s,264
Simulink,261
Spark,235
Tensorflow,228
Spring Boot,216
模型评估,207
pytorch,191
数字信号处理,180
BERT,175
通义千问,172
Kafka,169
语音识别,168
自动控制,158
JavaScript,155
linux,153
Hadoop,151
opencv,150
TypeScript,146
ASR,145
matlab,145
c++,145
FAISS,137
嵌入式开发,137
推荐系统,136
agent,131
MongoDB,129
Shell,127
文心一言,120
JAVA,118
Flink,117
结构设计,108
tensorflow,106
java,103
Elasticsearch,101
信息抽取,100
AIAgent,99
TTS,94
Oracle,90
SpringBoot,78
.NET,71
Opencv,65
Langchain,59
Faiss,58
Rust,52
ros,52
shell,51
langchain,49
transformer,47
GO,45
SQL Server,44
docker,42
git,42
语音合成,35
K8S,34
搜索推荐,33
simulink,33
c#,31
rag,30
Rag,28
SolidWorks,28
mysql,28
cuda,26
spark,22
k8s,21
sql,21
redis,21
Mysql,19
PYTHON,18
openCV,17
Bert,16
.net,15
LORA,13
Ros,13
milvus,13
lora,12
Lora,12
ElasticSearch,12
AI agent,12
kafka,11
LINUX,10
hadoop,10
ocr,10
.Net,10
onnx,10
Sql,10
tensorrt,9
gpt,9
Cuda,9
bert,8
Solidworks,8
rust,8
MySql,8
tensorRT,8
LLamaIndex,8
MYSQL,7
flink,7
SQLServer,7
pyTorch,7
faiss,7
oracle,7
Springboot,6
springboot,6
LoRa,6
OpenCv,6
langChain,6
GIT,5
OPENCV,5
MysQL,5
PostgresQL,5
Llamaindex,5
llamaindex,5
SQLSERVER,5
asr,5
Postgresql,5
Spring boot,4
tts,4
PyThon,4
Typescript,4
SIMULINK,4
SHELL,3
TransFormer,3
postgreSQL,3
kubernetes,3
OpencV,2
ORACLE,2
llamaIndex,2
mongodb,2
Javascript,2
TensorFlOW,2
ai agent,2
AGENT,2
SqlServer,2
Sqlserver,2
javascript,2
SQLserver,2
sql server,2
elasticsearch,2
PYthon,2
solidworks,2
MatLab,2
TRANSFORMER,2
aigc,2
AIAGENT,1
spring boot,1
typescript,1
GpT,1
SOLIDWORKS,1
mySQL,1
SQL server,1
gO,1
TensOrRT,1
MilvuS,1
opencV,1
LLaMAIndex,1
AIagent,1
tensorFlow,1
TensorRt,1
Onnx,1
LInux,1
Tensorrt,1
postgresql,1
Gpt,1
