skill_name,mention_count
大模型,8141
Python,5555
深度学习,4679
人工智能,4126
Agent,3914
C++,3548
RAG,3104
机器学习,3018
PyTorch,2236
微调,1961
图像处理,1924
TensorFlow,1884
多模态,1813
架构设计,1729
Java,1594
算法开发,1564
模型训练,1477
机器视觉,1373
计算机视觉,1356
Linux,1340
数据分析,1334
LangChain,1262
性能优化,1188
目标检测,1107
强化学习,1053
AI Agent,1029
控制算法,1025
OpenCV,1009
Transformer,994
算法设计,988
大语言模型,966
Docker,869
ROS,790
GPT,774
SQL,759
Git,712
模型部署,678
知识图谱,623
视觉算法,623
C#,621
自然语言处理,574
系统设计,572
python,522
MySQL,513
TensorRT,509
特征工程,506
Go,491
图像识别,465
模型微调,460
LlamaIndex,458
LoRA,447
数据挖掘,427
Milvus,414
MATLAB,383
Redis,375
Matlab,374
ONNX,367
AIGC,347
CUDA,310
OCR,310
Pytorch,289
模型推理,281
PostgreSQL,266
go,258
K8s,244
Kubernetes,242
Simulink,240
Spark,210
Tensorflow,207
Spring Boot,199
pytorch,174
模型评估,174
数字信号处理,160
通义千问,160
Kafka,158
BERT,155
语音识别,153
自动控制,144
JavaScript,137
TypeScript,136
opencv,132
matlab,131
c++,131
Hadoop,131
FAISS,129
linux,128
ASR,128
推荐系统,122
agent,117
嵌入式开发,116
MongoDB,116
文心一言,113
Shell,111
Flink,108
JAVA,101
结构设计,100
tensorflow,99
信息抽取,92
Elasticsearch,89
AIAgent,87
java,85
TTS,85
Oracle,82
SpringBoot,72
.NET,63
Opencv,58
Faiss,55
Langchain,54
ros,50
Rust,46
transformer,45
shell,44
langchain,42
SQL Server,40
GO,39
git,38
docker,37
simulink,31
搜索推荐,31
语音合成,31
c#,28
K8S,27
rag,26
Rag,25
SolidWorks,25
cuda,24
mysql,22
spark,19
Mysql,18
k8s,18
redis,18
PYTHON,17
sql,16
openCV,15
.net,15
Bert,13
AI agent,12
Ros,12
ElasticSearch,11
milvus,11
LORA,11
Sql,10
lora,10
Lora,10
.Net,9
gpt,9
hadoop,9
kafka,9
onnx,9
ocr,9
Cuda,9
LLamaIndex,8
tensorrt,8
faiss,7
bert,7
tensorRT,7
MySql,7
Solidworks,7
oracle,7
rust,6
SQLServer,6
pyTorch,6
langChain,6
LINUX,6
flink,5
MysQL,5
PostgresQL,5
Llamaindex,5
llamaindex,5
SQLSERVER,5
asr,5
springboot,5
Postgresql,5
LoRa,5
OpenCv,5
Springboot,4
Typescript,4
MYSQL,4
GIT,4
SIMULINK,4
OPENCV,4
Spring boot,3
tts,3
postgreSQL,3
kubernetes,3
PyThon,3
llamaIndex,2
mongodb,2
Javascript,2
TensorFlOW,2
ai agent,2
AGENT,2
SqlServer,2
Sqlserver,2
javascript,2
SQLserver,2
sql server,2
elasticsearch,2
PYthon,2
TransFormer,2
SHELL,2
solidworks,2
MatLab,2
TRANSFORMER,2
aigc,2
typescript,1
GpT,1
SOLIDWORKS,1
mySQL,1
SQL server,1
gO,1
TensOrRT,1
MilvuS,1
opencV,1
ORACLE,1
LLaMAIndex,1
AIagent,1
tensorFlow,1
TensorRt,1
Onnx,1
LInux,1
OpencV,1
Tensorrt,1
postgresql,1
Gpt,1
